Date,Value
2020-01-01,
2020-01-02,3.56
2020-01-03,3.61
2020-01-06,3.57
2020-01-07,3.54
2020-01-08,3.5
2020-01-09,3.49
2020-01-10,3.48
2020-01-13,3.48
2020-01-14,3.45
2020-01-15,3.44
2020-01-16,3.42
2020-01-17,3.39
2020-01-20,3.38
2020-01-21,3.47
2020-01-22,3.49
2020-01-23,3.58
2020-01-24,3.68
2020-01-27,4.03
2020-01-28,3.86
2020-01-29,3.83
2020-01-30,3.95
2020-01-31,4.03
2020-02-03,3.97
2020-02-04,3.85
2020-02-05,3.75
2020-02-06,3.7
2020-02-07,3.75
2020-02-10,3.75
2020-02-11,3.65
2020-02-12,3.59
2020-02-13,3.57
2020-02-14,3.56
2020-02-17,3.56
2020-02-18,3.61
2020-02-19,3.57
2020-02-20,3.62
2020-02-21,3.66
2020-02-24,4.03
2020-02-25,4.18
2020-02-26,4.27
2020-02-27,4.62
2020-02-28,5.04
2020-02-29,5.06
2020-03-02,4.97
2020-03-03,4.84
2020-03-04,4.75
2020-03-05,5.05
2020-03-06,5.64
2020-03-09,6.68
2020-03-10,6.38
2020-03-11,6.61
2020-03-12,7.42
2020-03-13,7.31
2020-03-16,8.38
2020-03-17,8.41
2020-03-18,9.04
2020-03-19,9.82
2020-03-20,10.09
2020-03-23,10.87
2020-03-24,10.55
2020-03-25,10.11
2020-03-26,9.29
2020-03-27,8.99
2020-03-30,8.82
2020-03-31,8.77
2020-04-01,9.11
2020-04-02,9.17
2020-04-03,9.43
2020-04-06,9.26
2020-04-07,8.88
2020-04-08,8.81
2020-04-09,7.96
2020-04-10,
2020-04-13,7.7
2020-04-14,7.35
2020-04-15,7.64
2020-04-16,7.58
2020-04-17,7.31
2020-04-20,7.52
2020-04-21,7.9
2020-04-22,7.85
2020-04-23,7.87
2020-04-24,8.03
2020-04-27,8.01
2020-04-28,8.02
2020-04-29,7.87
2020-04-30,7.63
2020-05-01,7.7
2020-05-04,7.79
2020-05-05,7.6
2020-05-06,7.6
2020-05-07,7.6
2020-05-08,7.52
2020-05-11,7.51
2020-05-12,7.42
2020-05-13,7.61
2020-05-14,7.77
2020-05-15,7.78
2020-05-18,7.41
2020-05-19,7.35
2020-05-20,7.16
2020-05-21,7.08
2020-05-22,7.06
2020-05-25,7.06
2020-05-26,6.75
2020-05-27,6.7
2020-05-28,6.6
2020-05-29,6.71
2020-05-31,6.54
2020-06-01,6.43
2020-06-02,6.18
2020-06-03,5.8
2020-06-04,5.83
2020-06-05,5.5
2020-06-08,5.51
2020-06-09,5.75
2020-06-10,5.92
2020-06-11,6.4
2020-06-12,6.28
2020-06-15,6.25
2020-06-16,5.78
2020-06-17,5.85
2020-06-18,6.01
2020-06-19,6.02
2020-06-22,6.03
2020-06-23,6.02
2020-06-24,6.23
2020-06-25,6.3
2020-06-26,6.41
2020-06-29,6.52
2020-06-30,6.44
2020-07-01,6.33
2020-07-02,6.17
2020-07-03,6.17
2020-07-06,6.03
2020-07-07,6.04
2020-07-08,6.06
2020-07-09,6.14
2020-07-10,6.14
2020-07-13,6.01
2020-07-14,6.03
2020-07-15,5.81
2020-07-16,5.76
2020-07-17,5.74
2020-07-20,5.54
2020-07-21,5.33
2020-07-22,5.28
2020-07-23,5.26
2020-07-24,5.29
2020-07-27,5.24
2020-07-28,5.27
2020-07-29,5.15
2020-07-30,5.14
2020-07-31,5.16
2020-08-03,5.08
2020-08-04,5.13
2020-08-05,5.04
2020-08-06,5.06
2020-08-07,5.06
2020-08-10,5.09
2020-08-11,5.03
2020-08-12,5.1
2020-08-13,5.16
2020-08-14,5.26
2020-08-17,5.29
2020-08-18,5.26
2020-08-19,5.25
2020-08-20,5.28
2020-08-21,5.25
2020-08-24,5.17
2020-08-25,5.07
2020-08-26,5.02
2020-08-27,4.98
2020-08-28,5.0
2020-08-31,5.02
2020-09-01,4.97
2020-09-02,4.93
2020-09-03,5.04
2020-09-04,5.13
2020-09-07,5.13
2020-09-08,5.25
2020-09-09,5.16
2020-09-10,5.16
2020-09-11,5.21
2020-09-14,5.18
2020-09-15,5.14
2020-09-16,5.07
2020-09-17,5.14
2020-09-18,5.16
2020-09-21,5.42
2020-09-22,5.45
