Date,Open,High,Low,Close,Volume
2020-01-02,1.88,1.88,1.88,1.88,0
2020-01-03,1.8,1.8,1.8,1.8,0
2020-01-06,1.81,1.81,1.81,1.81,0
2020-01-07,1.83,1.83,1.83,1.83,0
2020-01-08,1.87,1.87,1.87,1.87,0
2020-01-09,1.85,1.85,1.85,1.85,0
2020-01-10,1.83,1.83,1.83,1.83,0
2020-01-13,1.85,1.85,1.85,1.85,0
2020-01-14,1.82,1.82,1.82,1.82,0
2020-01-15,1.79,1.79,1.79,1.79,0
2020-01-16,1.81,1.81,1.81,1.81,0
2020-01-17,1.84,1.84,1.84,1.84,0
2020-01-20,1.81,1.81,1.81,1.81,0
2020-01-21,1.78,1.78,1.78,1.78,0
2020-01-22,1.77,1.77,1.77,1.77,0
2020-01-23,1.74,1.74,1.74,1.74,0
2020-01-24,1.7,1.7,1.7,1.7,0
2020-01-27,1.61,1.61,1.61,1.61,0
2020-01-28,1.65,1.65,1.65,1.65,0
2020-01-29,1.6,1.6,1.6,1.6,0
2020-01-30,1.57,1.57,1.57,1.57,0
2020-01-31,1.51,1.51,1.51,1.51,0
2020-02-03,1.54,1.54,1.54,1.54,0
2020-02-04,1.61,1.61,1.61,1.61,0
2020-02-05,1.66,1.66,1.66,1.66,0
2020-02-06,1.65,1.65,1.65,1.65,0
2020-02-07,1.59,1.59,1.59,1.59,0
2020-02-10,1.56,1.56,1.56,1.56,0
2020-02-11,1.59,1.59,1.59,1.59,0
2020-02-12,1.62,1.62,1.62,1.62,0
2020-02-13,1.61,1.61,1.61,1.61,0
2020-02-14,1.59,1.59,1.59,1.59,0
2020-02-17,1.57,1.57,1.57,1.57,0
2020-02-18,1.55,1.55,1.55,1.55,0
2020-02-19,1.56,1.56,1.56,1.56,0
2020-02-20,1.52,1.52,1.52,1.52,0
2020-02-21,1.46,1.46,1.46,1.46,0
2020-02-24,1.38,1.38,1.38,1.38,0
2020-02-25,1.33,1.33,1.33,1.33,0
2020-02-26,1.33,1.33,1.33,1.33,0
2020-02-27,1.3,1.3,1.3,1.3,0
2020-02-28,1.13,1.13,1.13,1.13,0
2020-03-02,1.1,1.1,1.1,1.1,0
2020-03-03,1.02,1.02,1.02,1.02,0
2020-03-04,1.02,1.02,1.02,1.02,0
2020-03-05,0.92,0.92,0.92,0.92,0
2020-03-06,0.74,0.74,0.74,0.74,0
2020-03-09,0.54,0.54,0.54,0.54,0
2020-03-10,0.76,0.76,0.76,0.76,0
2020-03-11,0.82,0.82,0.82,0.82,0
2020-03-12,0.88,0.88,0.88,0.88,0
2020-03-13,0.94,0.94,0.94,0.94,0
2020-03-16,0.73,0.73,0.73,0.73,0
2020-03-17,1.02,1.02,1.02,1.02,0
2020-03-18,1.18,1.18,1.18,1.18,0
2020-03-19,1.12,1.12,1.12,1.12,0
2020-03-20,0.92,0.92,0.92,0.92,0
2020-03-23,0.76,0.76,0.76,0.76,0
2020-03-24,0.84,0.84,0.84,0.84,0
2020-03-25,0.88,0.88,0.88,0.88,0
2020-03-26,0.83,0.83,0.83,0.83,0
2020-03-27,0.72,0.72,0.72,0.72,0
2020-03-30,0.7,0.7,0.7,0.7,0
2020-03-31,0.7,0.7,0.7,0.7,0
2020-04-01,0.62,0.62,0.62,0.62,0
2020-04-02,0.63,0.63,0.63,0.63,0
2020-04-03,0.62,0.62,0.62,0.62,0
2020-04-06,0.67,0.67,0.67,0.67,0
2020-04-07,0.75,0.75,0.75,0.75,0
2020-04-08,0.77,0.77,0.77,0.77,0
2020-04-09,0.73,0.73,0.73,0.73,0
2020-04-10,0.745,0.745,0.745,0.745,0
2020-04-13,0.76,0.76,0.76,0.76,0
2020-04-14,0.76,0.76,0.76,0.76,0
2020-04-15,0.63,0.63,0.63,0.63,0
2020-04-16,0.61,0.61,0.61,0.61,0
2020-04-17,0.65,0.65,0.65,0.65,0
2020-04-20,0.63,0.63,0.63,0.63,0
2020-04-21,0.58,0.58,0.58,0.58,0
2020-04-22,0.63,0.63,0.63,0.63,0
2020-04-23,0.61,0.61,0.61,0.61,0
2020-04-24,0.6,0.6,0.6,0.6,0
2020-04-27,0.67,0.67,0.67,0.67,0
2020-04-28,0.62,0.62,0.62,0.62,0
2020-04-29,0.63,0.63,0.63,0.63,0
2020-04-30,0.64,0.64,0.64,0.64,0
2020-05-01,0.64,0.64,0.64,0.64,0
2020-05-04,0.64,0.64,0.64,0.64,0
2020-05-05,0.66,0.66,0.66,0.66,0
2020-05-06,0.72,0.72,0.72,0.72,0
