Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2023-01-03,235.71170043945312,241.78207671875532,233.56689130137062,239.15518881591555,25740000,MSFT,yfinance,0
2023-01-04,225.4009246826172,229.11004291520683,222.31162417160007,228.52957274245693,50623400,MSFT,yfinance,0
2023-01-05,218.72056579589844,223.87596581760184,218.17944312939204,223.53161093552876,39585600,MSFT,yfinance,0
2023-01-06,221.2982177734375,222.11481819108766,215.80832703475767,219.3993872333867,43613600,MSFT,yfinance,0
2023-01-09,223.452880859375,227.50636891623878,222.75435303516963,222.7937005835737,27369800,MSFT,yfinance,0
2023-01-10,225.1549530029297,227.57522499630332,223.65949099112012,224.08254092830623,27033900,MSFT,yfinance,0
2023-01-11,231.96324157714844,232.14032807576052,227.37847873354642,227.55556523215847,28669300,MSFT,yfinance,0
2023-01-12,234.6589813232422,236.0265376031761,229.78890766519942,231.46145624309852,27269500,MSFT,yfinance,0
2023-01-13,235.3673553466797,235.50509428694716,231.1269476008542,233.17336543655554,21333300,MSFT,yfinance,0
2023-01-17,236.46926879882812,237.02022452941694,233.26189577624385,234.12769193140784,29831300,MSFT,yfinance,0
2023-01-18,232.00257873535156,238.46650586867912,231.71726771845104,237.6695866357853,30028700,MSFT,yfinance,0
2023-01-19,228.18524169921875,231.71728882447567,226.9554242494215,230.0053775298867,28623000,MSFT,yfinance,0
2023-01-20,236.34136962890625,236.85297782698208,230.72355762121356,231.0679124686992,35389800,MSFT,yfinance,0
2023-01-23,238.6632537841797,241.2114314930767,235.7805543777998,237.2071543808696,31934000,MSFT,yfinance,0
2023-01-24,238.13197326660156,240.01113767587688,236.5578161535958,238.58455263169674,40234400,MSFT,yfinance,0
2023-01-25,236.72508239746094,239.3716517336312,227.1718546280861,230.6940533159615,66526600,MSFT,yfinance,0
2023-01-26,243.99575805664062,244.30075035222444,238.0926348778509,239.71598774705066,33454500,MSFT,yfinance,0
2023-01-27,244.15316772460938,245.79620180353155,242.84464034171302,244.96976819720265,26498900,MSFT,yfinance,0
2023-01-30,238.79116821289062,241.63450516356798,238.28939315473593,240.56209308604045,25867400,MSFT,yfinance,0
2023-01-31,243.80885314941406,243.94659210655092,239.0273221910632,239.519249182612,26541100,MSFT,yfinance,0
2023-02-01,248.66905212402344,251.05980969219294,241.50659754079177,243.99574649557985,31259900,MSFT,yfinance,0
2023-02-02,260.3277282714844,260.4162715128124,253.0963966480028,254.64105436023115,39940400,MSFT,yfinance,0
2023-02-03,254.1786346435547,259.93418536512996,252.9488173964162,255.34942306481736,29077300,MSFT,yfinance,0
2023-02-06,252.6241455078125,254.129440716698,250.666285929055,253.28334080672707,22518000,MSFT,yfinance,0
2023-02-07,263.2398986816406,264.430353274804,255.8806620537984,256.3234082373286,50841400,MSFT,yfinance,0
2023-02-08,262.42333984375,272.2913924433007,261.9117166421838,268.7888752510765,54686000,MSFT,yfinance,0
2023-02-09,259.3635559082031,269.5562977519744,258.55678851794653,269.379181234106,42375100,MSFT,yfinance,0
2023-02-10,258.85198974609375,259.825995584377,256.451383618039,257.3073317819656,25818500,MSFT,yfinance,0
2023-02-13,266.9392395019531,270.1662789980363,262.8365556487046,263.3186644624134,44630900,MSFT,yfinance,0
2023-02-14,267.7755126953125,270.5302914358511,264.93216068736695,268.26743961503985,37047900,MSFT,yfinance,0
2023-02-15,265.6352233886719,267.02593565503673,262.5381698096659,264.6489051940905,28922400,MSFT,yfinance,0
2023-02-16,258.56329345703125,263.09049009144866,258.3167139229124,260.4077035562338,29603600,MSFT,yfinance,0
2023-02-17,254.52923583984375,256.5314602951584,252.49742304676738,255.84105571403794,30000100,MSFT,yfinance,0
2023-02-21,249.21298217773438,251.99440632830448,248.1477568679428,250.9982154566374,28397400,MSFT,yfinance,0
2023-02-22,248.06886291503906,250.8601449778206,246.91487253007625,250.61356544983659,22491100,MSFT,yfinance,0
