Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2020-01-02,120.58160400390625,121.03925637801167,120.28237544086693,120.38798236213707,11034100,TLT,yfinance,0
2020-01-03,122.4386215209961,122.47383278653106,121.347314014347,121.69054999291616,12366000,TLT,yfinance,0
2020-01-06,121.74329376220703,122.95782667348908,121.58487000331279,122.94022104935495,11369800,TLT,yfinance,0
2020-01-07,121.14485931396484,121.86654239666521,121.13606321386867,121.64651903181662,8381200,TLT,yfinance,0
2020-01-08,120.3439712524414,121.72571084874467,119.97433365159927,121.39127107358128,10621700,TLT,yfinance,0
2020-01-09,120.76637268066406,120.95999423126369,119.61345290246469,119.69265805612237,7411500,TLT,yfinance,0
2020-01-10,121.84008026123047,121.86648197758998,121.12720706121566,121.16240487331042,8776000,TLT,yfinance,0
2020-01-13,121.47049713134766,121.53209668735266,120.91603398150352,121.34728459017782,5966900,TLT,yfinance,0
2020-01-14,122.0953369140625,122.17455551538332,121.57608510211625,121.61128292446952,13920300,TLT,yfinance,0
2020-01-15,122.90507507324219,123.00188591365928,122.35062519554754,122.7906720285046,6290500,TLT,yfinance,0
2020-01-16,122.5177993774414,122.79942226217605,122.10415443463485,122.56179330097346,6798600,TLT,yfinance,0
2020-01-17,121.47049713134766,121.57610404401899,120.88963225333568,121.08325387933967,9693100,TLT,yfinance,0
2020-01-21,122.74662017822266,122.90503053468362,122.13055752116544,122.16575534621497,6794900,TLT,yfinance,0
2020-01-22,123.17792510986328,123.3363355362291,122.852281295948,122.96669777887753,6317000,TLT,yfinance,0
2020-01-23,124.04039001464844,124.42763333445835,123.89957182032444,123.96118481627698,9747400,TLT,yfinance,0
2020-01-24,125.04369354248047,125.45733858646123,124.35722164590854,124.46282857486979,8585000,TLT,yfinance,0
2020-01-27,126.98867797851562,126.98867797851564,126.29341006191818,126.6894494285451,10935200,TLT,yfinance,0
2020-01-28,125.99419403076172,126.81267457450443,125.69496545105977,126.67185638552881,10612900,TLT,yfinance,0
2020-01-29,127.22631072998047,127.34952327944251,126.23180080486217,126.2406103342842,9566800,TLT,yfinance,0
2020-01-30,127.24393463134766,128.20323343485046,126.98869996635096,127.52555760091758,14711800,TLT,yfinance,0
2020-01-31,128.40560913085938,128.4848277352734,127.69273569524063,127.7631447718541,14538100,TLT,yfinance,0
2020-02-03,128.30160522460938,128.4955485465119,127.04979779781154,127.78149061199437,15309000,TLT,yfinance,0
2020-02-04,126.57376861572266,127.06743765390958,126.11535588677518,126.9352096799211,11388300,TLT,yfinance,0
2020-02-05,125.18970489501953,125.79798040630641,125.09273324174958,125.44536354976341,10782600,TLT,yfinance,0
2020-02-06,125.75390625,125.9566737315897,125.18090046648146,125.33957402445095,6683100,TLT,yfinance,0
2020-02-07,127.32304382324219,127.59633730475615,126.82937493651866,127.13792471645502,11374800,TLT,yfinance,0
2020-02-10,127.67562103271484,128.04587254396765,127.54337970275566,127.9136446654712,6699300,TLT,yfinance,0
2020-02-11,127.03215789794922,127.57871802485124,126.89110578408096,127.46411150089955,7784100,TLT,yfinance,0
2020-02-12,126.38863372802734,126.54732074543254,126.05365171612246,126.38863372802734,5595500,TLT,yfinance,0
2020-02-13,126.87346649169922,127.12030095664369,126.30046079482163,126.45032361629008,7883400,TLT,yfinance,0
2020-02-14,127.4288558959961,127.89607925570708,127.34069496147816,127.61397502642572,7137400,TLT,yfinance,0
2020-02-18,128.30160522460938,128.75120722150703,127.75504501823238,128.12529678237215,6909200,TLT,yfinance,0
2020-02-19,128.29278564453125,128.37212242033448,127.80792737328223,127.93134461946644,5707700,TLT,yfinance,0
2020-02-20,129.2977752685547,129.53579907831838,128.7071345529337,128.77766062439972,9332900,TLT,yfinance,0
2020-02-21,130.5054931640625,131.2460101369073,130.16168699689132,130.29392841593977,13860300,TLT,yfinance,0
2020-02-24,132.4537353515625,133.0796457766966,132.23334644082777,132.9650392386436,15929300,TLT,yfinance,0
2020-02-25,133.1589813232422,133.7848782911093,132.35676246724267,132.41847781838334,20802900,TLT,yfinance,0
2020-02-26,132.4537353515625,133.74962322280035,131.86309468497006,132.18926596838654,22589500,TLT,yfinance,0
2020-02-27,133.8906707763672,134.94853482143162,132.9650346926341,134.6135393840973,30687900,TLT,yfinance,0
2020-02-28,136.91439819335938,137.50503883165564,135.90061463313626,136.15625983869367,44935200,TLT,yfinance,0
2020-03-02,135.90704345703125,138.1671557990336,135.74812215133898,137.10772982263651,28152400,TLT,yfinance,0
