date,value,type
2020-01-01,1.0,linear
2020-01-02,1.01,linear
2020-01-03,1.02,linear
2020-01-04,1.03,linear
2020-01-05,1.04,linear
2020-01-06,1.05,linear
2020-01-07,1.06,linear
2020-01-08,1.07,linear
2020-01-09,1.08,linear
2020-01-10,1.09,linear
2020-01-11,1.1,linear
2020-01-12,1.11,linear
2020-01-13,1.12,linear
2020-01-14,1.13,linear
2020-01-15,1.1400000000000001,linear
2020-01-16,1.15,linear
2020-01-17,1.16,linear
2020-01-18,1.17,linear
2020-01-19,1.18,linear
2020-01-20,1.19,linear
2020-01-21,1.2,linear
2020-01-22,1.21,linear
2020-01-23,1.22,linear
2020-01-24,1.23,linear
2020-01-25,1.24,linear
2020-01-26,1.25,linear
2020-01-27,1.26,linear
2020-01-28,1.27,linear
2020-01-29,1.28,linear
2020-01-30,1.29,linear
2020-01-31,1.3,linear
2020-02-01,1.31,linear
2020-02-02,1.32,linear
2020-02-03,1.33,linear
2020-02-04,1.34,linear
2020-02-05,1.35,linear
2020-02-06,1.3599999999999999,linear
2020-02-07,1.37,linear
2020-02-08,1.38,linear
2020-02-09,1.3900000000000001,linear
2020-02-10,1.4,linear
2020-02-11,1.4100000000000001,linear
2020-02-12,1.42,linear
2020-02-13,1.43,linear
2020-02-14,1.44,linear
2020-02-15,1.45,linear
2020-02-16,1.46,linear
2020-02-17,1.47,linear
2020-02-18,1.48,linear
2020-02-19,1.49,linear
2020-02-20,1.5,linear
2020-02-21,1.51,linear
2020-02-22,1.52,linear
2020-02-23,1.53,linear
2020-02-24,1.54,linear
2020-02-25,1.55,linear
2020-02-26,1.56,linear
2020-02-27,1.57,linear
2020-02-28,1.58,linear
2020-02-29,1.5899999999999999,linear
2020-03-01,1.6,linear
2020-03-02,1.6099999999999999,linear
2020-03-03,1.62,linear
2020-03-04,1.63,linear
2020-03-05,1.6400000000000001,linear
2020-03-06,1.65,linear
2020-03-07,1.6600000000000001,linear
2020-03-08,1.67,linear
2020-03-09,1.6800000000000002,linear
2020-03-10,1.69,linear
2020-03-11,1.7000000000000002,linear
2020-03-12,1.71,linear
2020-03-13,1.72,linear
2020-03-14,1.73,linear
2020-03-15,1.74,linear
2020-03-16,1.75,linear
2020-03-17,1.76,linear
2020-03-18,1.77,linear
2020-03-19,1.78,linear
2020-03-20,1.79,linear
2020-03-21,1.8,linear
2020-03-22,1.81,linear
2020-03-23,1.82,linear
2020-03-24,1.83,linear
2020-03-25,1.8399999999999999,linear
2020-03-26,1.85,linear
2020-03-27,1.8599999999999999,linear
2020-03-28,1.87,linear
2020-03-29,1.88,linear
2020-03-30,1.8900000000000001,linear
2020-03-31,1.9,linear
2020-04-01,1.9100000000000001,linear
2020-04-02,1.92,linear
2020-04-03,1.9300000000000002,linear
2020-04-04,1.94,linear
2020-04-05,1.9500000000000002,linear
2020-04-06,1.96,linear
2020-04-07,1.97,linear
2020-04-08,1.98,linear
2020-04-09,1.99,linear
2020-04-10,2.0,linear
2020-04-11,2.01,linear
2020-04-12,2.02,linear
2020-04-13,2.0300000000000002,linear
2020-04-14,2.04,linear
2020-04-15,2.05,linear
2020-04-16,2.06,linear
2020-04-17,2.0700000000000003,linear
2020-04-18,2.08,linear
2020-04-19,2.09,linear
2020-04-20,2.1,linear
2020-04-21,2.1100000000000003,linear
2020-04-22,2.12,linear
2020-04-23,2.13,linear
2020-04-24,2.14,linear
2020-04-25,2.1500000000000004,linear
2020-04-26,2.16,linear
2020-04-27,2.17,linear
2020-04-28,2.1799999999999997,linear
2020-04-29,2.19,linear
2020-04-30,2.2,linear
2020-05-01,2.21,linear
2020-05-02,2.2199999999999998,linear
2020-05-03,2.23,linear
2020-05-04,2.24,linear
2020-05-05,2.25,linear
2020-05-06,2.26,linear
2020-05-07,2.27,linear
2020-05-08,2.2800000000000002,linear
2020-05-09,2.29,linear
2020-05-10,2.3,linear
2020-05-11,2.31,linear
2020-05-12,2.3200000000000003,linear
2020-05-13,2.33,linear
2020-05-14,2.34,linear
2020-05-15,2.35,linear
2020-05-16,2.3600000000000003,linear
2020-05-17,2.37,linear
2020-05-18,2.38,linear
2020-05-19,2.39,linear
2020-05-20,2.4000000000000004,linear
2020-05-21,2.41,linear
2020-05-22,2.42,linear
2020-05-23,2.4299999999999997,linear
2020-05-24,2.44,linear
2020-05-25,2.45,linear
2020-05-26,2.46,linear
2020-05-27,2.4699999999999998,linear
2020-05-28,2.48,linear
2020-05-29,2.49,linear
2020-05-30,2.5,linear
2020-05-31,2.51,linear
2020-06-01,2.52,linear
2020-06-02,2.5300000000000002,linear
2020-06-03,2.54,linear
2020-06-04,2.55,linear
2020-06-05,2.56,linear
2020-06-06,2.5700000000000003,linear
2020-06-07,2.58,linear
2020-06-08,2.59,linear
2020-06-09,2.6,linear
2020-06-10,2.6100000000000003,linear
2020-06-11,2.62,linear
2020-06-12,2.63,linear
2020-06-13,2.64,linear
2020-06-14,2.6500000000000004,linear
2020-06-15,2.66,linear
2020-06-16,2.67,linear
2020-06-17,2.6799999999999997,linear
2020-06-18,2.69,linear
2020-06-19,2.7,linear
2020-06-20,2.71,linear
2020-06-21,2.7199999999999998,linear
2020-06-22,2.73,linear
2020-06-23,2.74,linear
2020-06-24,2.75,linear
2020-06-25,2.76,linear
2020-06-26,2.77,linear
2020-06-27,2.7800000000000002,linear
2020-06-28,2.79,linear
2020-06-29,2.8,linear
2020-06-30,2.81,linear
2020-07-01,2.8200000000000003,linear
2020-07-02,2.83,linear
2020-07-03,2.84,linear
2020-07-04,2.85,linear
2020-07-05,2.8600000000000003,linear
2020-07-06,2.87,linear
2020-07-07,2.88,linear
2020-07-08,2.89,linear
2020-07-09,2.9000000000000004,linear
2020-07-10,2.91,linear
2020-07-11,2.92,linear
2020-07-12,2.9299999999999997,linear
2020-07-13,2.94,linear
2020-07-14,2.95,linear
2020-07-15,2.96,linear
2020-07-16,2.9699999999999998,linear
2020-07-17,2.98,linear
2020-07-18,2.99,linear
2020-07-19,3.0,linear
2020-07-20,3.0100000000000002,linear
2020-07-21,3.02,linear
2020-07-22,3.0300000000000002,linear
2020-07-23,3.04,linear
2020-07-24,3.05,linear
2020-07-25,3.06,linear
2020-07-26,3.07,linear
2020-07-27,3.08,linear
2020-07-28,3.09,linear
2020-07-29,3.1,linear
2020-07-30,3.11,linear
2020-07-31,3.12,linear
2020-08-01,3.13,linear
2020-08-02,3.14,linear
2020-08-03,3.15,linear
2020-08-04,3.16,linear
2020-08-05,3.17,linear
2020-08-06,3.18,linear
2020-08-07,3.19,linear
2020-08-08,3.2,linear
2020-08-09,3.21,linear
2020-08-10,3.22,linear
2020-08-11,3.23,linear
2020-08-12,3.24,linear
2020-08-13,3.25,linear
2020-08-14,3.2600000000000002,linear
2020-08-15,3.27,linear
2020-08-16,3.2800000000000002,linear
2020-08-17,3.29,linear
2020-08-18,3.3000000000000003,linear
2020-08-19,3.31,linear
2020-08-20,3.32,linear
2020-08-21,3.33,linear
2020-08-22,3.34,linear
2020-08-23,3.35,linear
2020-08-24,3.36,linear
2020-08-25,3.37,linear
2020-08-26,3.38,linear
2020-08-27,3.39,linear
2020-08-28,3.4,linear
2020-08-29,3.41,linear
2020-08-30,3.42,linear
2020-08-31,3.43,linear
2020-09-01,3.44,linear
2020-09-02,3.45,linear
2020-09-03,3.46,linear
2020-09-04,3.47,linear
2020-09-05,3.48,linear
2020-09-06,3.49,linear
2020-09-07,3.5,linear
2020-09-08,3.5100000000000002,linear
2020-09-09,3.52,linear
2020-09-10,3.5300000000000002,linear
2020-09-11,3.54,linear
2020-09-12,3.5500000000000003,linear
2020-09-13,3.56,linear
2020-09-14,3.57,linear
2020-09-15,3.58,linear
2020-09-16,3.59,linear
2020-09-17,3.6,linear
2020-09-18,3.61,linear
2020-09-19,3.62,linear
2020-09-20,3.63,linear
2020-09-21,3.64,linear
2020-09-22,3.65,linear
2020-09-23,3.66,linear
2020-09-24,3.67,linear
2020-09-25,3.68,linear
2020-09-26,3.69,linear
2020-09-27,3.7,linear
2020-09-28,3.71,linear
2020-09-29,3.72,linear
2020-09-30,3.73,linear
2020-10-01,3.74,linear
2020-10-02,3.75,linear
2020-10-03,3.7600000000000002,linear
2020-10-04,3.77,linear
2020-10-05,3.7800000000000002,linear
2020-10-06,3.79,linear
2020-10-07,3.8000000000000003,linear
2020-10-08,3.81,linear
2020-10-09,3.82,linear
2020-10-10,3.83,linear
2020-10-11,3.84,linear
2020-10-12,3.85,linear
2020-10-13,3.86,linear
2020-10-14,3.87,linear
2020-10-15,3.88,linear
2020-10-16,3.89,linear
2020-10-17,3.9,linear
2020-10-18,3.91,linear
2020-10-19,3.92,linear
2020-10-20,3.93,linear
2020-10-21,3.94,linear
2020-10-22,3.95,linear
2020-10-23,3.96,linear
2020-10-24,3.97,linear
2020-10-25,3.98,linear
2020-10-26,3.99,linear
2020-10-27,4.0,linear
2020-10-28,4.01,linear
2020-10-29,4.02,linear
2020-10-30,4.03,linear
2020-10-31,4.04,linear
2020-11-01,4.050000000000001,linear
2020-11-02,4.0600000000000005,linear
2020-11-03,4.07,linear
2020-11-04,4.08,linear
2020-11-05,4.09,linear
2020-11-06,4.1,linear
2020-11-07,4.109999999999999,linear
2020-11-08,4.12,linear
2020-11-09,4.13,linear
2020-11-10,4.140000000000001,linear
2020-11-11,4.15,linear
2020-11-12,4.16,linear
2020-11-13,4.17,linear
2020-11-14,4.18,linear
2020-11-15,4.1899999999999995,linear
2020-11-16,4.2,linear
2020-11-17,4.21,linear
2020-11-18,4.220000000000001,linear
2020-11-19,4.23,linear
2020-11-20,4.24,linear
2020-11-21,4.25,linear
2020-11-22,4.26,linear
2020-11-23,4.27,linear
2020-11-24,4.28,linear
2020-11-25,4.29,linear
2020-11-26,4.300000000000001,linear
2020-11-27,4.3100000000000005,linear
2020-11-28,4.32,linear
2020-11-29,4.33,linear
2020-11-30,4.34,linear
2020-12-01,4.35,linear
2020-12-02,4.359999999999999,linear
2020-12-03,4.37,linear
2020-12-04,4.38,linear
2020-12-05,4.390000000000001,linear
2020-12-06,4.4,linear
2020-12-07,4.41,linear
2020-12-08,4.42,linear
2020-12-09,4.43,linear
2020-12-10,4.4399999999999995,linear
2020-12-11,4.45,linear
2020-12-12,4.46,linear
2020-12-13,4.470000000000001,linear
2020-12-14,4.48,linear
2020-12-15,4.49,linear
2020-12-16,4.5,linear
2020-12-17,4.51,linear
2020-12-18,4.52,linear
2020-12-19,4.53,linear
2020-12-20,4.54,linear
2020-12-21,4.550000000000001,linear
2020-12-22,4.5600000000000005,linear
2020-12-23,4.57,linear
2020-12-24,4.58,linear
2020-12-25,4.59,linear
2020-12-26,4.6,linear
2020-12-27,4.609999999999999,linear
2020-12-28,4.62,linear
2020-12-29,4.63,linear
2020-12-30,4.640000000000001,linear
2020-12-31,4.65,linear
2021-01-01,4.66,linear
2021-01-02,4.67,linear
2021-01-03,4.68,linear
2021-01-04,4.6899999999999995,linear
2021-01-05,4.7,linear
2021-01-06,4.71,linear
2021-01-07,4.720000000000001,linear
2021-01-08,4.73,linear
2021-01-09,4.74,linear
2021-01-10,4.75,linear
2021-01-11,4.76,linear
2021-01-12,4.77,linear
2021-01-13,4.78,linear
2021-01-14,4.79,linear
2021-01-15,4.800000000000001,linear
2021-01-16,4.8100000000000005,linear
2021-01-17,4.82,linear
2021-01-18,4.83,linear
2021-01-19,4.84,linear
2021-01-20,4.85,linear
2021-01-21,4.859999999999999,linear
2021-01-22,4.87,linear
2021-01-23,4.88,linear
2021-01-24,4.890000000000001,linear
2021-01-25,4.9,linear
2021-01-26,4.91,linear
2021-01-27,4.92,linear
2021-01-28,4.93,linear
2021-01-29,4.9399999999999995,linear
2021-01-30,4.95,linear
2021-01-31,4.96,linear
2021-02-01,4.970000000000001,linear
2021-02-02,4.98,linear
2021-02-03,4.99,linear
2021-02-04,5.0,linear
2021-02-05,5.01,linear
2021-02-06,5.0200000000000005,linear
2021-02-07,5.03,linear
2021-02-08,5.04,linear
2021-02-09,5.05,linear
2021-02-10,5.0600000000000005,linear
2021-02-11,5.07,linear
2021-02-12,5.08,linear
2021-02-13,5.09,linear
2021-02-14,5.1,linear
2021-02-15,5.11,linear
2021-02-16,5.12,linear
2021-02-17,5.13,linear
2021-02-18,5.14,linear
2021-02-19,5.15,linear
2021-02-20,5.16,linear
2021-02-21,5.17,linear
2021-02-22,5.18,linear
2021-02-23,5.19,linear
2021-02-24,5.2,linear
2021-02-25,5.21,linear
2021-02-26,5.22,linear
2021-02-27,5.23,linear
2021-02-28,5.24,linear
2021-03-01,5.25,linear
2021-03-02,5.26,linear
2021-03-03,5.2700000000000005,linear
2021-03-04,5.28,linear
2021-03-05,5.29,linear
2021-03-06,5.3,linear
2021-03-07,5.3100000000000005,linear
2021-03-08,5.32,linear
2021-03-09,5.33,linear
2021-03-10,5.34,linear
2021-03-11,5.3500000000000005,linear
2021-03-12,5.36,linear
2021-03-13,5.37,linear
2021-03-14,5.38,linear
2021-03-15,5.39,linear
2021-03-16,5.4,linear
2021-03-17,5.41,linear
2021-03-18,5.42,linear
2021-03-19,5.43,linear
2021-03-20,5.44,linear
2021-03-21,5.45,linear
2021-03-22,5.46,linear
2021-03-23,5.47,linear
2021-03-24,5.48,linear
2021-03-25,5.49,linear
2021-03-26,5.5,linear
2021-03-27,5.51,linear
2021-03-28,5.5200000000000005,linear
2021-03-29,5.53,linear
2021-03-30,5.54,linear
2021-03-31,5.55,linear
2021-04-01,5.5600000000000005,linear
2021-04-02,5.57,linear
2021-04-03,5.58,linear
2021-04-04,5.59,linear
2021-04-05,5.6000000000000005,linear
2021-04-06,5.61,linear
2021-04-07,5.62,linear
2021-04-08,5.63,linear
2021-04-09,5.64,linear
2021-04-10,5.65,linear
2021-04-11,5.66,linear
2021-04-12,5.67,linear
2021-04-13,5.68,linear
2021-04-14,5.69,linear
2021-04-15,5.7,linear
2021-04-16,5.71,linear
2021-04-17,5.72,linear
2021-04-18,5.73,linear
2021-04-19,5.74,linear
2021-04-20,5.75,linear
2021-04-21,5.76,linear
2021-04-22,5.7700000000000005,linear
2021-04-23,5.78,linear
2021-04-24,5.79,linear
2021-04-25,5.8,linear
2021-04-26,5.8100000000000005,linear
2021-04-27,5.82,linear
2021-04-28,5.83,linear
2021-04-29,5.84,linear
2021-04-30,5.8500000000000005,linear
2021-05-01,5.86,linear
2021-05-02,5.87,linear
2021-05-03,5.88,linear
2021-05-04,5.89,linear
2021-05-05,5.9,linear
2021-05-06,5.91,linear
2021-05-07,5.92,linear
2021-05-08,5.93,linear
2021-05-09,5.94,linear
2021-05-10,5.95,linear
2021-05-11,5.96,linear
2021-05-12,5.97,linear
2021-05-13,5.98,linear
2021-05-14,5.99,linear
2021-05-15,6.0,linear
2021-05-16,6.01,linear
2021-05-17,6.0200000000000005,linear
2021-05-18,6.03,linear
2021-05-19,6.04,linear
2021-05-20,6.05,linear
2021-05-21,6.0600000000000005,linear
2021-05-22,6.07,linear
2021-05-23,6.08,linear
2021-05-24,6.09,linear
2021-05-25,6.1000000000000005,linear
2021-05-26,6.11,linear
2021-05-27,6.12,linear
2021-05-28,6.13,linear
2021-05-29,6.14,linear
2021-05-30,6.15,linear
2021-05-31,6.16,linear
2021-06-01,6.17,linear
2021-06-02,6.18,linear
2021-06-03,6.19,linear
2021-06-04,6.2,linear
2021-06-05,6.21,linear
2021-06-06,6.22,linear
2021-06-07,6.23,linear
2021-06-08,6.24,linear
2021-06-09,6.25,linear
2021-06-10,6.26,linear
2021-06-11,6.2700000000000005,linear
2021-06-12,6.28,linear
2021-06-13,6.29,linear
2021-06-14,6.3,linear
2021-06-15,6.3100000000000005,linear
2021-06-16,6.32,linear
2021-06-17,6.33,linear
2021-06-18,6.34,linear
2021-06-19,6.3500000000000005,linear
2021-06-20,6.36,linear
2021-06-21,6.37,linear
2021-06-22,6.38,linear
2021-06-23,6.39,linear
2021-06-24,6.4,linear
2021-06-25,6.41,linear
2021-06-26,6.42,linear
2021-06-27,6.43,linear
2021-06-28,6.44,linear
2021-06-29,6.45,linear
2021-06-30,6.46,linear
2021-07-01,6.47,linear
2021-07-02,6.48,linear
2021-07-03,6.49,linear
2021-07-04,6.5,linear
2021-07-05,6.51,linear
2021-07-06,6.5200000000000005,linear
2021-07-07,6.53,linear
2021-07-08,6.54,linear
2021-07-09,6.55,linear
2021-07-10,6.5600000000000005,linear
2021-07-11,6.57,linear
2021-07-12,6.58,linear
2021-07-13,6.59,linear
2021-07-14,6.6000000000000005,linear
2021-07-15,6.61,linear
2021-07-16,6.62,linear
2021-07-17,6.63,linear
2021-07-18,6.64,linear
2021-07-19,6.65,linear
2021-07-20,6.66,linear
2021-07-21,6.67,linear
2021-07-22,6.68,linear
2021-07-23,6.69,linear
2021-07-24,6.7,linear
2021-07-25,6.71,linear
2021-07-26,6.72,linear
2021-07-27,6.73,linear
2021-07-28,6.74,linear
2021-07-29,6.75,linear
2021-07-30,6.76,linear
2021-07-31,6.7700000000000005,linear
