,SPY,UPRO,SSO,TLT,GLD,^VIX,^SPX,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred
2020-01-02,,,,,,,,3.56,3.56,3.56,3.56,0,1.88,1.88,1.88,1.88,0.0
2020-01-03,,,,,,,,3.61,3.61,3.61,3.61,0,1.8,1.8,1.8,1.8,0.0
2020-01-06,,,,,,,,3.57,3.57,3.57,3.57,0,1.81,1.81,1.81,1.81,0.0
2020-01-07,,,,,,,,3.54,3.54,3.54,3.54,0,1.83,1.83,1.83,1.83,0.0
2020-01-08,,,,,,,,3.5,3.5,3.5,3.5,0,1.87,1.87,1.87,1.87,0.0
2020-01-09,,,,,,,,3.49,3.49,3.49,3.49,0,1.85,1.85,1.85,1.85,0.0
2020-01-10,,,,,,,,3.48,3.48,3.48,3.48,0,1.83,1.83,1.83,1.83,0.0
2020-01-13,,,,,,,,3.48,3.48,3.48,3.48,0,1.85,1.85,1.85,1.85,0.0
2020-01-14,,,,,,,,3.45,3.45,3.45,3.45,0,1.82,1.82,1.82,1.82,0.0
2020-01-15,,,,,,,,3.44,3.44,3.44,3.44,0,1.79,1.79,1.79,1.79,0.0
2020-01-16,,,,,,,,3.42,3.42,3.42,3.42,0,1.81,1.81,1.81,1.81,0.0
2020-01-17,,,,,,,,3.39,3.39,3.39,3.39,0,1.84,1.84,1.84,1.84,0.0
2020-01-21,,,,,,,,3.47,3.47,3.47,3.47,0,1.78,1.78,1.78,1.78,0.0
2020-01-22,,,,,,,,3.49,3.49,3.49,3.49,0,1.77,1.77,1.77,1.77,0.0
2020-01-23,,,,,,,,3.58,3.58,3.58,3.58,0,1.74,1.74,1.74,1.74,0.0
2020-01-24,,,,,,,,3.68,3.68,3.68,3.68,0,1.7,1.7,1.7,1.7,0.0
2020-01-27,,,,,,,,4.03,4.03,4.03,4.03,0,1.61,1.61,1.61,1.61,0.0
2020-01-28,,,,,,,,3.86,3.86,3.86,3.86,0,1.65,1.65,1.65,1.65,0.0
2020-01-29,,,,,,,,3.83,3.83,3.83,3.83,0,1.6,1.6,1.6,1.6,0.0
2020-01-30,,,,,,,,3.95,3.95,3.95,3.95,0,1.57,1.57,1.57,1.57,0.0
2020-01-31,,,,,,,,4.03,4.03,4.03,4.03,0,1.51,1.51,1.51,1.51,0.0
2020-02-03,,,,,,,,3.97,3.97,3.97,3.97,0,1.54,1.54,1.54,1.54,0.0
2020-02-04,,,,,,,,3.85,3.85,3.85,3.85,0,1.61,1.61,1.61,1.61,0.0
2020-02-05,,,,,,,,3.75,3.75,3.75,3.75,0,1.66,1.66,1.66,1.66,0.0
2020-02-06,,,,,,,,3.7,3.7,3.7,3.7,0,1.65,1.65,1.65,1.65,0.0
2020-02-07,,,,,,,,3.75,3.75,3.75,3.75,0,1.59,1.59,1.59,1.59,0.0
2020-02-10,,,,,,,,3.75,3.75,3.75,3.75,0,1.56,1.56,1.56,1.56,0.0
2020-02-11,,,,,,,,3.65,3.65,3.65,3.65,0,1.59,1.59,1.59,1.59,0.0
2020-02-12,,,,,,,,3.59,3.59,3.59,3.59,0,1.62,1.62,1.62,1.62,0.0
2020-02-13,,,,,,,,3.57,3.57,3.57,3.57,0,1.61,1.61,1.61,1.61,0.0
2020-02-14,,,,,,,,3.56,3.56,3.56,3.56,0,1.59,1.59,1.59,1.59,0.0
2020-02-18,,,,,,,,3.61,3.61,3.61,3.61,0,1.55,1.55,1.55,1.55,0.0
2020-02-19,,,,,,,,3.57,3.57,3.57,3.57,0,1.56,1.56,1.56,1.56,0.0
2020-02-20,,,,,,,,3.62,3.62,3.62,3.62,0,1.52,1.52,1.52,1.52,0.0
2020-02-21,,,,,,,,3.66,3.66,3.66,3.66,0,1.46,1.46,1.46,1.46,0.0
2020-02-24,,,,,,,,4.03,4.03,4.03,4.03,0,1.38,1.38,1.38,1.38,0.0
2020-02-25,,,,,,,,4.18,4.18,4.18,4.18,0,1.33,1.33,1.33,1.33,0.0
2020-02-26,,,,,,,,4.27,4.27,4.27,4.27,0,1.33,1.33,1.33,1.33,0.0
2020-02-27,,,,,,,,4.62,4.62,4.62,4.62,0,1.3,1.3,1.3,1.3,0.0
2020-02-28,,,,,,,,5.04,5.04,5.04,5.04,0,1.13,1.13,1.13,1.13,0.0
2020-03-02,,,,,,,,4.97,4.97,4.97,4.97,0,1.1,1.1,1.1,1.1,0.0
