Date,ticker,Open,Close,High,Low,Volume
1996-12-31,BAMLH0A0HYM2,3.13,3.13,3.13,3.13,0
1997-01-01,BAMLH0A0HYM2,,,,,0
1997-01-02,BAMLH0A0HYM2,3.06,3.06,3.06,3.06,0
1997-01-03,BAMLH0A0HYM2,3.09,3.09,3.09,3.09,0
1997-01-06,BAMLH0A0HYM2,3.1,3.1,3.1,3.1,0
1997-01-07,BAMLH0A0HYM2,3.1,3.1,3.1,3.1,0
1997-01-08,BAMLH0A0HYM2,3.07,3.07,3.07,3.07,0
1997-01-09,BAMLH0A0HYM2,3.13,3.13,3.13,3.13,0
1997-01-10,BAMLH0A0HYM2,3.16,3.16,3.16,3.16,0
1997-01-13,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1997-01-14,BAMLH0A0HYM2,3.09,3.09,3.09,3.09,0
1997-01-15,BAMLH0A0HYM2,3.07,3.07,3.07,3.07,0
1997-01-16,BAMLH0A0HYM2,3.02,3.02,3.02,3.02,0
1997-01-17,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1997-01-20,BAMLH0A0HYM2,3.03,3.03,3.03,3.03,0
1997-01-21,BAMLH0A0HYM2,3.05,3.05,3.05,3.05,0
1997-01-22,BAMLH0A0HYM2,2.99,2.99,2.99,2.99,0
1997-01-23,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1997-01-24,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-01-27,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-01-28,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1997-01-29,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-01-30,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1997-01-31,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1997-02-03,BAMLH0A0HYM2,3.08,3.08,3.08,3.08,0
1997-02-04,BAMLH0A0HYM2,3.08,3.08,3.08,3.08,0
1997-02-05,BAMLH0A0HYM2,3.05,3.05,3.05,3.05,0
1997-02-06,BAMLH0A0HYM2,3.03,3.03,3.03,3.03,0
1997-02-07,BAMLH0A0HYM2,3.06,3.06,3.06,3.06,0
1997-02-10,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1997-02-11,BAMLH0A0HYM2,3.03,3.03,3.03,3.03,0
1997-02-12,BAMLH0A0HYM2,3.01,3.01,3.01,3.01,0
1997-02-13,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1997-02-14,BAMLH0A0HYM2,3.05,3.05,3.05,3.05,0
1997-02-17,BAMLH0A0HYM2,,,,,0
1997-02-18,BAMLH0A0HYM2,3.01,3.01,3.01,3.01,0
1997-02-19,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1997-02-20,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-02-21,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-02-24,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1997-02-25,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-02-26,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-02-27,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-02-28,BAMLH0A0HYM2,2.73,2.73,2.73,2.73,0
1997-03-03,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-03-04,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-03-05,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-03-06,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-03-07,BAMLH0A0HYM2,2.74,2.74,2.74,2.74,0
1997-03-10,BAMLH0A0HYM2,2.74,2.74,2.74,2.74,0
1997-03-11,BAMLH0A0HYM2,2.72,2.72,2.72,2.72,0
1997-03-12,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-03-13,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-03-14,BAMLH0A0HYM2,2.66,2.66,2.66,2.66,0
1997-03-17,BAMLH0A0HYM2,2.66,2.66,2.66,2.66,0
1997-03-18,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-03-19,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-03-20,BAMLH0A0HYM2,2.68,2.68,2.68,2.68,0
1997-03-21,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-03-24,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-03-25,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-03-26,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-03-27,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-03-28,BAMLH0A0HYM2,,,,,0
1997-03-31,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1997-04-01,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-04-02,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-04-03,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1997-04-04,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1997-04-07,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1997-04-08,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1997-04-09,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-04-10,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1997-04-11,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-04-14,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1997-04-15,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1997-04-16,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-04-17,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1997-04-18,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-04-21,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-04-22,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-04-23,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-04-24,BAMLH0A0HYM2,2.78,2.78,2.78,2.78,0
1997-04-25,BAMLH0A0HYM2,2.78,2.78,2.78,2.78,0
1997-04-28,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1997-04-29,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-04-30,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
